'n	a, an.
doop	n. baptism, christening.; baptize, christen; name (a ship); sop (bread in milk), dip (biscuit in tea); initiate (a student).
doopseel	baptismal certificate.
door	vide dooier.
doos	box, case.
dop	n. shell (of egg); husk (of seeds); pod (of peas); cap, top (of pen); tot.; shell (peas); fail (an examination).
dopemmer	milking-pail.
dophou	keep an eye on, watch.
doppie	shell; cap, cover (of pipe); percussion-cap.
dor	a. dry, barren, arid.
doring	thorn, prickle, spine.
doringboom	thorn-tree, mimosa.
doringdraad	barbed wire.
dorp	village.
dorpenaar	villager.
dors	n. thirst.; a. thirsty.; thresh (thrash).
dorsmasjien	threshing-machine.
dorstig	thirsty.
dos	attire, deck, dress.
doseer	lecture, teach.
dosent	lecturer, instructor.
dosis	dose, quantity.
dosyn	dozen.
dou	n. dew.; dew.
douvoordag	before daybreak.
dowwerig	rather indistinct; vide dof.
dra	carry, bear, wear (clothes); discharge (of a wound); have a range (of gun).
draad	thread; fibre, filament; grain (of wood); string (of pod); strand (of wire); fence.
draadloos	n. iadio, wireless.
draadskêr	wire-cutters.
draadtrekker	fence-strainer (lit.); wire-puller, schemer.
draadwerk	wire-work; filigree(-work); vol - wees, be full of fads and fancies.
draagbaar	n. bier; stretcher.; a. bearable; portable, wearable (clothes).; portable
draagband	sling (for arm).
draaglik	bearable, tolerable.
draai	n. turn; kink, twist (of rope), bend, turning (of road).; turn; spin, rotate, revolve, wind; veer round (of the wind); tarry, dawdle.
draaibank	lathe.
draaijakkals	long-eared fox.
draaikous	dawdler, loiterer.
draaiorrel	barrel-organ.
draak	dragon.
draderig	stringy; fibrous.
draer	vector
draf	n. trot.; trot.
drag	costume, burden, load; litter; crop; pus (of a wound).
drama	drama, play.
dramaturg	dramatist.
drang	pressure, urgency; impulse, urge.
drank	drink, liquor, beverage.
dreef	get into one's stride.
dreig	threaten; intend.
dreigement	menace, threat.
dreigend	threatening, imminent.
dreineer	drain.
drek	filth, muck.
drempel	threshold (fig.).
drenk	soak, steep.
drenkeling	drowning (drowned) person.
drentel	loiter, saunter.
dresseer	train, break in.
dreun	n, boom, rumble; drone.; boom, roar, rumble; drone.
dribbel	dribble.
drie	three; try (football).
drieboek	triangle; set-square.
drieërlei	of three kinds (sorts).
driehoeksmeting	trigonometry.
driekwart	three-fourths; threequarter (rugby); three-quarters.
drieling	triplets.
drievoudig	threefold, triple, treble.
driewiel	tricycle.
drif	n. anger, temper; haste.; ford, drift.
driftig	quick-tempered; hasty.
dril	n. drill.; drill, coach; quiver, shake.
drilboor	drill, wimble.
drilvis	electric ray (skate).
dring	crowd, hustle, jostle, push, throng; press, urge.
dringend	(-e). pressing, crying, urgent.
drink	drink.
droë	dry; become dry.
droeaem	dregs, lees.
droef	dejected, sad.
droefenis	grief, sadness, sorrow.
droefgeestig	dejected, melancholy.
droëlewer	dry-throated.
droewig	pitiful, sad, sorrowful.
drogbeeld	illusion, phantom.
drogis	druggist.
drom	crowd, troop; drum.
dromedaris	dromedary.
dromerig	dreamy; faraway (look).
drommel	beggar, wretch; devil.
drommels	a. confounded, deuced.
dronk	drunk (pred.).
dronkaard	drunkard, inebriate.
dronkenskap	drunkenness, intoxication.
dronklap	drunkard.
dronkslaan	beat, dumbfound.
droog	a. dry, parched; dull.
drooglê	drain, reclaim; make dry.
droogloop	run dry.
droogmaak	dry.
droogsit	get the better of; oust.
droogte	drought, dryness.
droogvoets	dry-shod.
droogweg	drily (dryly).
droom	n. dream.; dream.
droombeeld	illusion, vision.
dros	desert, run away.
drosdy	dros(t)dy.
droster	runaway, deserter.
druif	grape.
druip	drip (with blood); gutter (of candle); fail.
druipeling	failure (in an examination).
druipnat	soaked, drenched.
druipstert	adv. sneaking.
druis	roar, swirl, swish.
druk	n. pressure; weight, squeeze (of the hand); print, type (of letter); edition.; a. busy, lively; crowded.; press, squeeze; push; weigh heavy upon; print (a book).
drukkend	oppressive; sultry.
drukker	printer.
drukkery	printing-office, printing-works.
drukking	pressure, weight.
drukpot	pressure cooker.
drukspyker	thumb-tack.
drukte	bustle, fuss, stir, to-do.
drumpel	threshold, doorstep.
drup	drip; eaves.; drip, drop, trickle down.
druppel	drop.
dryf	float, drift (ashore); drive; impel, hustle; conduct, run (a business).
dryfveer	spring; incentive, motive.
dubbel	double, dual, twice.
dubbeldooier	-door, double-yolked egg.
dubbelganger	double, second self.
dubbelpunt	colon.
dubbelsinnig	ambiguous.
dubbeltjie	penny.
dubbelvorm	doublet.
dui	hint at, point to, suggest.
duidelik	clear, plain; distinct; obvious.
duideliksheidshalwe	for the sake of clearness.
duif	dove; pigeon.
duik	vide deuk.; dive, dip, duck, plunge.
duikboot	submarine.
duiker	diver; diving-bird; duiker (antelope); culvert; yorker (cricket).
duikklopper	panel-beater.
duikweg	subway.
duim	thumb.
duimbreedte	the thickness of an inch.
duimspyker	inch-nail; drawing-pin.
duimstok	footrule, inch-measure.
duin	dune, sand-hill.
duisel	get (grow) dizzy (giddy).
duiseling	dizziness (giddiness).
duiselingwekkend	dizzy, giddy.
duisend	thousand.
duisendpoot	millipede, centipede.
duister	n. dark, darkness.; a. dark (night, future); obscure (style); gloomy (prospects); abstruse.
duisternis	dark(ness); 'n - van, scores (a multitude) of.
duit	farthing.
Duitser	German.
duiwel	devil.
duiwelagtig	devilish, diabolical.
duiwels	devilish; diabolical.
duld	bear, (pain), tolerate (a person); stand (a treatment).
dun	rare (atmosphere), scanty (hair), sparse (population), clear (soup).; thin, deplete (the ranks).
dundoek	bunting.
dunk	idea, opinion.
duplikaat	duplicate.
duplo	in -, in duplicate.
durf	n. pluck, daring, nerve.; dare; risk; venture.
dus	consequently, therefore.
dusdanig	such.
duskant	vide deuskant.
dusketyd	om -, about this time.
dusver	tot -, so far, thus far.
dut	doze, snooze.
dutjie	doze, snap.
duur	n. duration; life.; a. dear; expensive; solemn (oath).; continue, last; endure; keep.
duursaam	durable lasting.
duusman	vide diesman.
duwweltjie	devil's thorn.
dwaal	roam, wander; err.
dwaallig	will-o'-the-wisp.
dwaalspoor	false (wrong) track.
dwaas	n. fool, ass.; a. absurd, foolish, silly.
dwaling	mistake, error.
dwang	compulsion, constraint.
dwarrel	whirl (round); flutter about.
dwarrelwind	whirlwind, tornado.
dwars	transverse, diagonal; cross, athwart, cross-grained, perverse, pig-headed.
dwarsboom	obstruct, thwart.
dwarsdeur	right through, straight across.
dwarshout	cross-beam, cross-bar.
dwarsoor	right (straight) across.
dwarspaal	cross-bar.
dwarste	in die -, across, athwart.
dwarstrek	quarrel, squabble.
dwarsweg	give a person a surly answer.
dweep	be fanatical, gush, enthuse.
dweepsiek	fanatic.
dweper	fanatic; enthusiasm.
dwerg	dwarf, pygmy, midget.
dwing	force, compel, constrain; be on the point of.
dwingeland	tyrant.
dwingelandy	tyranny.
dy	n. thigh.; thrive, prosper, succeed.
dyk	dike, bank.
dynserig	cloudy, hazy, misty.
eb	n. ebb(-tide).; ebb, flow back.
ebbehout	ebony.
edel	noble; generous; precious (metals).
edelagbaar	honourable, worshipful.
edelgesteente	gem, jewel, precious stone.
edelman	nobleman, noble.
edelmoedig	generous, magnanimous.
edik	n. vinegar.; n. edict, decree.
edisie	edition; issue.
êe	vide eg.; gateway
eed	oath.
eekhorinkie	squirrel.
eeld	callosity, callus.; eeltsweer, bunion.
een	n. & pro. one; someone; something.; ene, a. & adv. a, a certain one.
eenbeentjie	- speel, play hopscotch.
eend	duck.
eendag	one day; some day.
eenders	a. & adv. alike, similar.
eendrag	harmony, union, unity.
eenkant	on one side.
eenkeer	vide eendag.
eenlopend	single, unmarried.
eenmaal	once; one day.
eenparig	unanimous(ly), by common consent.
eens	a. & adv. once (upon a time), one day, just; even; unanimous, of the same opinion.
eensaam	solitary, lonely.
eensdeels	partly, on the one hand.
eensgesind	unanimous.
eensklaps	all of a sudden.
eenslag	once; one day.
eenstemmig	a. unanimous; for one voice.
eensydig	one-sided; unilateral; partial.
eentjie	by oneself.
eentonig	monotonous; drab.
eenvormig	uniform.
eenvoud	simplicity.
eenvoudig	simple, plain, homely.; adv. simply, plainly.
eenvoudigheidshalwe	for (the sake of) simplicity.
eer	n. credit, honour, repute.; adv. & conj. before.; honour, respect, revere.
eerbaar	good, honest, virtuous.
eerbetoon	(mark of) honour, homage, tribute.
eerbied	respect, reverence.
eerbiedig	respectful, devout.; respect; defer to.
eerbiedwaardig	respectable, venerable.
eerbiedwekkend	imposing, impressive.
eerder	rather, sooner.
eerfyds	a. & adv. former(ly).
eergevoel	sense of honour; pride.
eergevoelig	proud, touchy.
eergierig	ambitious.
eergister	the day before yesterday.
eergisteraand	the night (afternoon, morning) before last.
eerlang	before (ere) long, shortly.
eerlik	a. & adv. honest, upright; honourable; fair, square.
eerloos	dishonourable, infamous.
eers	first, formerly; once; only.
eersaam	respectable; virtuous.
eersdaags	one of these days, shortly.
eersgeborene	first-born (child).
eersgenoemde	first-mentioned; former.
eerskomende	following, next.
eerste	a. & adv. first; chief, foremost; prime (minister).
eerstehands	first-hand (information).
eersteklas	adv. first-class; first-rate.
eersteling	first-born; first work (of artist).
eerstens	in the first place.
eersterangs	first-class, first-rate.
eersug	ambition.
eersvolgende	following, next.
eervol	honourable.
eerwaarde	reverend.
eerwaardig	time-honoured; venerable.
eet	eat; dine, take (have) one's meals.
eetgoed	eatables.
eetkamer	dining-room.
eetlepel	tablespoon.
eetlus	appetite.
eetmaal	meal; dinner, banquet.
eeu	century.
eeue-oud	centuries old.
eeuelang	age-long, secular.
eeufees	centenary.
effe	level, flat, smooth; plain.
effekte	shares, stocks, securities.
effektebeurs	stock-exchange, share-market.
effektief	a. effective, real.
effens	just; a little, slightly; a moment.
effentjies	vide effens.
eg	n. harrow.; n. marriage, matrimony, wedlock.; a. genuine, real, thorough, regular, proper; legitimate.; harrow.
ega	consort, spouse.
egaal	even, level, smooth.
egalig	smooth; uniform.
eggenoot	husband, spouse.
eggenote	wife, spouse.
eggo	echo.
Egiptenaar	Egyptian.
Egipties	Egyptian.
egpaar	married couple.
egskeiding	divorce.
egtelik	conjugal, connubial, matrimonial.
egter	however, nevertheless, yet.
egtheid	authenticity, genuineness, legality, legitimacy.
eie	own, private; innate, natural (gifts); peculiar; familiar, intimate.
eiebelang	self-interest.
eiedunk	self-conceit.
eiegeregtig	self-righteous.
eiemagtig	arbitrary, highhanded.
eien	appropriate; recognize (a person).
eienaam	proper name.
eienaar	owner, proprietor.
eienaardig	peculiar, singular.
eiendom	property, belongings, estate.
eienskap	quality, property, attribute.
eier	egg.
eier-in-die-hoed	hat-ball (game).
eierkelkie	egg-cup.
eiesinnig	headstrong, self-willed.
eiewaan	conceitedness, self-conceit.
eiewaarde	self-esteem, self-respect.
eiewys	(self-) conceited, cocky; obstinate.
eik	oak(-tree).
eikel	acorn.
eiland	island; isle.
eilandsee	archipelago.
eina!	interj. oh!, oh-oh!, ow!
einddoel	ultimate object (aim).
einde	close, conclusion, end; ending.
eindelik	a. last, ultimate.; finally.
eindig	(come to an) end, conclude, finish, stop, terminate.
eindpaal	goal, limit; winning-post.
einste	same.
eintlik	a. actual, proper, real,; adv. actually, properly, really.
eis	n. claim, demand; requirement, requisite.; claim, demand; require.
eiser	eiseres, (-se), claimant, plaintiff,
eiwit	white of an egg, albumen.
ek	ekke, I.
ekkerig	egotistic, self-centred; subjective.
eklips	eclipse.
ekonomie	economy; economics.
ekonoom	economist.
eksamen	examination.
eksaminator	examiner.
eksamineer	examine.
eksekuteur	executor.
eksellensie	excellency.
eksemplaar	specimen, sample; copy.
eksie-perfeksie	perfect, smart; punctilious.
ekskuseer	excuse, pardon.
ekskuus	apology; excuse, pardon.
ekspedisie	expedition.
eksperiment	experiment.
eksperimenteer	experiment.
eksporteer	export.
ekspres	adv. vide aspres.
ekstase	ecstasy, rapture,
ekstra	a. extra, additional, special.; excess (a)
ekstra betaal	excess (v)
ekstrak	extract; excerpt.
ekwator	equator; vide ewenaar.
ekwivalent	equivalent.
el	ell; yard.
eland	eland (S.A.); elk (Eur.).
elastiek	n. elastic.
elders	elsewhere.
eleksie	election.
elektries	electric.
elektrisiteit	electricity.
element	element; (electric) cell; constituent.
elementer	elementary.
elf	n. elf, fairy.; n. & a. eleven.
elf-en-dertigste	at a snail's pace, in a kind of way.
elfuur	eleven o'clock.
elimineer	eliminate.
elk	each, every, any.
elkeen	each, everyone, anyone.
elkers	every now and then (again).
ellelang	-lank, long-drawn.
ellende	misery, wretchedness.
ellendeling	villain, wretch.
ellendig	miserable, wretched; rotten.
elmboog	elbow.
els	awl,; alder(-tree).
Elsasser	Alsatian.
emalje	enamel.
emigreer	emigrate.
emmer	bucket, pail.
emoe	emu.
emosie	emotion.
en	and.
end	end, close, conclusion, termination; extremity; tail.
end-uit	right to the end.
endosseer	endorse.
endossement	endorsement.
ene	vide een a. & adv.; ten ene male, absolutely, altogether.
enemmel	vide emalje.
energiek	energetic, active, pushing.
enerlei	of the same kind (sort).
eng	narrow, tight; narrow-minded.
engel	angel.
Engels	n. &, a. English; Anglican (Church).
Engelsman	Englishman.
enghartig	narrow-minded.
engte	narrowness; defile (between mountains); strait (of the sea); isthmus.
enig	only, sole; unique.
enigeen	anyone.
enigermate	to some extent, somewhat.
eniggebore	only-begotten (Bib.)
enigsins	somewhat, slightly, remotely.
enigste	only, sole; vide enig.
enjin	engine.
enkel	n. ankle.; a. single.; adv. only, merely, simply.
enkeling	individual.
enkelspel	single(s).
enkelvoud	singular (number).
enorm	enormous.
ensiklopedie	encyclopaedia.
ent	n. piece; length; distance.; n. graft; inoculation; vaccination.; graft; inoculate; vaccinate.
entjie	end, stub, piece; short distance.
entoesiasme	enthusiasm.
entomologie	entomology.
epidemie	epidemic.; epidemic
epiek	eptc poetry.
epies	epic.
epos	epic(-poem).
era	era
erbarm	have (take) pity on.
erbarming	compassion, pity; mercy.
erbarmlik	lamentable, miserable, pitiful; rotten, wretched.
erd	n. earth; clay.; earth (hill) up.
erdeskottel	earthenware-dish.
erdvark	ant-eater, antbear.
erdwurm	earth-worm.
ere	n. honour; glory; vide eer, n.
ereboog	triumphal arch.
eregas	guest of honour.
erelid	honorary member.; honorary member
êrens	somewhere.
erewoord	word of honour; parole.
erf	inherit, succeed to (a title).
erfdeel	heritage, (hereditary) portion.
erfgeld	money inherited.
erfgenaam	heir.
erflik	a. & adv. hereditary.
erflikheid	heredity.
erfnis	heritage, inheritance.
erfpag	quitrent-tenure; quitrent.
erfporsie	heritage, inheritance.
erg	n.; sonder -, unintentionally; unsuspectingly; without malice.; a. bad; ill; severe.; adv. badly, severely, very.; vide erge(r), geerge(r).
erger	annoy, vex.
ergerlik	-annoying; offensive, scandalous, shocking.
ergernis	offence, annoyance, nuisance, vexation.
erken	acknowledge, admit; confess (guilt).; allow
erkenning	acknowledgment; admission; confession.
erkentenis	acknowledgment; confession.
erkentlik	grateful, thankful.
erlang	acquire, gain, obtain.
erns	seriousness, gravity.
ernstig	a. & adv. earnest (en deavour) serious, grave (condition), severe (illness); grave (face).; serious
ertappel	vide aartappel.; potato
ertjie	pea.
erts	ore.
ervaar	experience.; experience
ervare	experienced, expert.
ervaring	experience.
es	n. (1) fireplace, hearth.; n. (2) ash(-tree).; n. (3) sharp turn.
esel	donkey; blockhead; easel.
eskader	squadron (naval).
eskadrielje	squadron (air-force).
eskadron	squadron (mil.).
Eskimo	Eskimo (Esquimau).
essay	assay.
essehout	Cape ash.
essensieel	essential.
ete	food, fare; meal, dinner.
eter	
Ethiopies	Ethiopian.
etiek	
etiket	etiquette; label.
etlike	several, some.
etmaal	twenty-four hours.
ets	n. etching.; etch.
etter	n. discharge, pus.; fester, suppurate.
Europeaan	European.
Europees	European.
euwel	evil; defect, fault.
evangelie	gospel, evangel.
evangelis	evangelist.
eventueel	a. &, adv. possible, potential; by chance.
evolusie	evolution.
ewe	it is all the same to me.; a. even; - of onewe, odd or even.; adv. as, even, just, equally, quite; - goed, alike, (just) as well; - min, just as little; -veel, as much, the same.
ewe-eens	also, likewise, too.
eweas	(just) as (like).
ewebeeld	picture, counterpart, image.
ewemens	fellow-man.
ewenaar	n. equator; tongue (of balance); swingle-beam (of wagon); differential.; equal.
ewenas	vide eweas.
eweneens	vide ewe-eens.
ewenwel	however, nevertheless.
eweredig	proportional, proportionate, commensurate.
eweseer	as much; alike.
eweso	likewise; as.
ewewel	vide ewe(n)wel.
ewewig	balance, equilibrium, poise.
ewewigtig	evenly balanced; level-headed.
ewewydig	parallel.
ewig	a. & adv. eternal (life), perpetual (snow),  perennial (youth), everlasting.
